id,source_type,category,topic,title,year,url,author,note
O01,official,policy,generative ai regulation,生成式人工智能服务管理暂行办法,2023,https://www.cac.gov.cn/,,中国生成式 AI 监管基础框架，定义服务提供者责任、数据合规和内容治理边界。
O02,official,policy,content labeling,人工智能生成合成内容标识办法,2025,https://www.cac.gov.cn/,,生成内容标识与传播规范，直接影响产品上线和内容审核流程。
O03,official,policy,filing stats,生成式人工智能服务备案信息公告（截至 2024-12-31）,2024,https://www.cac.gov.cn/,,备案数量 302、算法备案 238 的官方阶段性口径。
O04,official,policy,filing stats,生成式人工智能服务备案信息公告（截至 2025-11-01）,2025,https://www.cac.gov.cn/,,备案数量 611、算法备案 306 的较新官方口径。
O05,official,industry report,ai industry,中国人工智能产业发展研究报告（2025）,2025,https://www.caict.ac.cn/,,产业规模、企业数量、模型能力与应用情况的官方研究口径。
O06,official,industry report,gen ai industry,生成式人工智能产业发展研究报告（2025）,2025,https://www.caict.ac.cn/,,国内生成式 AI 产业规模进入万亿级别的关键参考。
O07,official,culture report,cultural statistics,2024年文化和旅游发展统计公报,2025,https://www.mct.gov.cn/,,公共图书馆、博物馆、文化馆、表演团体等机构规模的官方统计。
O08,official,culture report,digital innovation,2024年度文化和旅游数字化创新典型案例,2025,https://www.mct.gov.cn/,,文化和旅游数字化落地案例，证明垂直 AI 在公共文化系统里有真实需求。
O09,official,heritage,intangible heritage,国家级非物质文化遗产代表性项目名录,2025,https://www.mct.gov.cn/,,非遗项目总量和结构，是传统曲艺场景的重要需求底座。
O10,official,heritage,intangible heritage,国家级非物质文化遗产代表性传承人名录,2025,https://www.mct.gov.cn/,,传承人规模决定专家在环的可用性和成本。
O11,official,heritage platform,ancient books,中华古籍智慧化服务平台,2025,https://guji.nlc.cn/,,提供古籍数字化检索、OCR、断句、知识化服务，是 RAG 的关键数据底座。
O12,official,heritage platform,ancient books,中华古籍资源库,2025,https://www.nlc.cn/,,古籍与数字资源入口，支撑历史文本与曲艺资料检索。
O13,official,law,copyright,生成式人工智能相关著作权司法实践与案例,2024,https://www.court.gov.cn/,,生成内容著作权、训练数据边界和侵权争议的司法参考。
O14,official,product,music generation,MusicGen / AudioCraft 官方介绍,2023,https://ai.meta.com/blog/musicgen-audiocraft-generation-audio/,,Meta 官方音乐生成模型说明，体现文本到音乐的能力上限和数据依赖。
O15,official,product,music generation,OpenAI Jukebox 官方研究页,2020,https://openai.com/research/jukebox,,早期音乐生成研究，证明“生成整首歌”可行但质量和版权问题一直存在。
O16,official,product,music generation,MusicLM 官方介绍,2023,https://research.google/blog/musiclm-generating-music-from-text/,,Google 官方文本到音乐模型页面，属于行业能力对照组。
O17,official,product,music generation,Stable Audio 官方页面,2024,https://stability.ai/,,稳定音频生成产品的代表，说明商业化音乐生成已成立，但也受数据许可约束。
O18,official,product,music generation,Suno 官方页面,2024,https://suno.com/,,面向大众的生成式音乐产品，证明用户愿意为“可听”买单。
O19,official,product,music generation,Udio 官方页面,2024,https://www.udio.com/,,另一条主流消费级音乐生成路线，适合与传统曲艺生成做能力对比。
O20,official,product,music generation,AIVA 官方页面,2024,https://www.aiva.ai/,,AI 作曲与授权商业模式的代表产品。
O21,official,product,music generation,Soundraw 官方页面,2024,https://soundraw.io/,,可定制音乐生成产品，对“可控生成”很有参考意义。
O22,official,product,music generation,Beatoven 官方页面,2024,https://www.beatoven.ai/,,AI 配乐产品，体现 B2B 内容生成的商业路径。
O23,official,product,music generation,Mubert 官方页面,2024,https://mubert.com/,,生成式音频和版权授权结合的商业样本。
O24,official,product,music generation,Boomy 官方页面,2024,https://boomy.com/,,大众化音乐生成工具，对产品门槛和付费意愿有参考价值。
A001,academic,academic,songci generation,PoeTone: A Framework for Constrained Generation of Structured Chinese Songci with LLMs,2026,https://doi.org/10.1609/aaai.v40i39.40555,Zhan Qu,Query match: songci generation
A002,academic,academic,grammar constrained decoding,Flexible and Efficient Grammar-Constrained Decoding,2025,https://doi.org/10.48550/arxiv.2502.05111,Kanghee Park,Query match: grammar constrained decoding
A003,academic,academic,grammar constrained decoding,Grammar-Constrained Decoding Makes Large Language Models Better Logical Parsers,2025,https://doi.org/10.18653/v1/2025.acl-industry.34,Federico Raspanti,Query match: grammar constrained decoding
A004,academic,academic,large language model hallucination,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",2024,https://doi.org/10.1145/3703155,Lei Huang,Query match: large language model hallucination
A005,academic,academic,poetry evaluation human AI collaboration,AI-generated poetry is indistinguishable from human-written poetry and is rated more favorably,2024,https://doi.org/10.1038/s41598-024-76900-1,Brian Porter,Query match: poetry evaluation human AI collaboration
A006,academic,academic,retrieval augmented generation,Benchmarking Large Language Models in Retrieval-Augmented Generation,2024,https://doi.org/10.1609/aaai.v38i16.29728,Jiawei Chen,Query match: retrieval augmented generation
A007,academic,academic,retrieval augmented generation,Benchmarking Retrieval-Augmented Generation for Medicine,2024,https://doi.org/10.18653/v1/2024.findings-acl.372,Guangzhi Xiong,Query match: retrieval augmented generation
A008,academic,academic,large language model hallucination,Detecting hallucinations in large language models using semantic entropy,2024,https://doi.org/10.1038/s41586-024-07421-0,Sebastian Farquhar,Query match: large language model hallucination
A009,academic,academic,large language model instruction tuning,GraphGPT: Graph Instruction Tuning for Large Language Models,2024,https://doi.org/10.1145/3626772.3657775,Jiabin Tang,Query match: large language model instruction tuning
A010,academic,academic,Chinese classical poetry,"Machine translation of Chinese classical poetry: a comparison among ChatGPT, Google Translate, and DeepL Translator",2024,https://doi.org/10.1057/s41599-024-03363-0,Ruiyao Gao,Query match: Chinese classical poetry
A011,academic,academic,text to music generation,Music Understanding LLaMA: Advancing Text-to-Music Generation with Question Answering and Captioning,2024,https://doi.org/10.1109/icassp48485.2024.10447027,Shansong Liu,Query match: text to music generation
A012,academic,academic,text to music generation,MusicLDM: Enhancing Novelty in text-to-music Generation Using Beat-Synchronous mixup Strategies,2024,https://doi.org/10.1109/icassp48485.2024.10447265,Ke Chen,Query match: text to music generation
A013,academic,academic,text to music generation,Mustango: Toward Controllable Text-to-Music Generation,2024,https://doi.org/10.18653/v1/2024.naacl-long.459,Jan Melechovský,Query match: text to music generation
A014,academic,academic,retrieval augmented generation,RAGAs: Automated Evaluation of Retrieval Augmented Generation,2024,https://doi.org/10.18653/v1/2024.eacl-demo.16,Shahul Es,Query match: retrieval augmented generation
A015,academic,academic,QLoRA large language models,Repeatability of Fine-Tuning Large Language Models Illustrated Using QLoRA,2024,https://doi.org/10.1109/access.2024.3470850,Saeed Alahmari,Query match: QLoRA large language models
A016,academic,academic,symbolic music generation / music generation survey,"A Survey on Deep Learning for Symbolic Music Generation: Representations, Algorithms, Evaluations, and Challenges",2023,https://doi.org/10.1145/3597493,Shulei Ji,Query match: symbolic music generation
A017,academic,academic,retrieval augmented generation / active retrieval augmented generation,Active Retrieval Augmented Generation,2023,https://doi.org/10.18653/v1/2023.emnlp-main.495,Zhengbao Jiang,Query match: retrieval augmented generation
A018,academic,academic,active retrieval augmented generation,Enhancing Retrieval-Augmented Large Language Models with Iterative Retrieval-Generation Synergy,2023,https://doi.org/10.18653/v1/2023.findings-emnlp.620,Zhihong Shao,Query match: active retrieval augmented generation
A019,academic,academic,large language model hallucination,Evaluating Object Hallucination in Large Vision-Language Models,2023,https://doi.org/10.18653/v1/2023.emnlp-main.20,Yifan Li,Query match: large language model hallucination
A020,academic,academic,grammar constrained decoding,Grammar-Constrained Decoding for Structured NLP Tasks without Finetuning,2023,https://doi.org/10.18653/v1/2023.emnlp-main.674,Saibo Geng,Query match: grammar constrained decoding
A021,academic,academic,large language model hallucination,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,2023,https://doi.org/10.18653/v1/2023.emnlp-main.397,Junyi Li,Query match: large language model hallucination
A022,academic,academic,large language model hallucination,Large language models and the perils of their hallucinations,2023,https://doi.org/10.1186/s13054-023-04393-x,Răzvan Azamfirei,Query match: large language model hallucination
A023,academic,academic,QLoRA large language models,"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",2023,https://doi.org/10.18653/v1/2023.wmt-1.43,Xuan Zhang,Query match: QLoRA large language models
A024,academic,academic,text to music generation,Moûsai: Text-to-Music Generation with Long-Context Latent Diffusion,2023,https://doi.org/10.48550/arxiv.2301.11757,Flavio Schneider,Query match: text to music generation
A025,academic,academic,text to music generation,Noise2Music: Text-conditioned Music Generation with Diffusion Models,2023,https://doi.org/10.48550/arxiv.2302.03917,Qingqing Huang,Query match: text to music generation
A026,academic,academic,QLoRA large language models,QLoRA: Efficient Finetuning of Quantized LLMs,2023,https://doi.org/10.48550/arxiv.2305.14314,Tim Dettmers,Query match: QLoRA large language models
A027,academic,academic,retrieval augmented generation / active retrieval augmented generation,Retrieval-Augmented Generation for Large Language Models: A Survey,2023,https://doi.org/10.48550/arxiv.2312.10997,Yunfan Gao,Query match: retrieval augmented generation
A028,academic,academic,poetry evaluation human AI collaboration,Does human–AI collaboration lead to more creative art? Aesthetic evaluation of human-made and AI-generated haiku poetry,2022,https://doi.org/10.1016/j.chb.2022.107502,Jimpei Hitsuwari,Query match: poetry evaluation human AI collaboration
A029,academic,academic,music generation survey,"GAN computers generate arts? A survey on visual arts, music, and literary text generation using generative adversarial network",2022,https://doi.org/10.1016/j.displa.2022.102237,Sakib Shahriar,Query match: music generation survey
A030,academic,academic,Chinese lyrics generation,QiuNiu: A Chinese Lyrics Generation System with Passage-Level Input,2022,https://doi.org/10.18653/v1/2022.acl-demo.7,Le Zhang,Query match: Chinese lyrics generation
A031,academic,academic,style transfer poetry,System Supporting Poetry Generation Using Text Generation and Style Transfer Methods,2022,https://doi.org/10.1016/j.procs.2022.09.389,Magdalena Badura,Query match: style transfer poetry
A032,academic,academic,symbolic music generation,Theme Transformer: Symbolic Music Generation With Theme-Conditioned Transformer,2022,https://doi.org/10.1109/tmm.2022.3161851,Yi-Jen Shih,Query match: symbolic music generation
A033,academic,academic,large language model instruction tuning,Training language models to follow instructions with human feedback,2022,https://doi.org/10.48550/arxiv.2203.02155,Long Ouyang,Query match: large language model instruction tuning
A034,academic,academic,controllable poetry generation,A Sentiment and Style Controllable Approach for Chinese Poetry Generation,2021,https://doi.org/10.1145/3459637.3481964,Yizhan Shao,Query match: controllable poetry generation
A035,academic,academic,Chinese lyrics generation,Automated Generation of Chinese Lyrics Based on Melody Emotions,2021,https://doi.org/10.1109/access.2021.3095964,Yin‐Fu Huang,Query match: Chinese lyrics generation
A036,academic,academic,lyrics generation / melody conditioned lyrics generation,Conditional LSTM-GAN for Melody Generation from Lyrics,2021,https://doi.org/10.1145/3424116,Yi Yu,Query match: lyrics generation
A037,academic,academic,style transfer poetry,Mind the Style of Text! Adversarial and Backdoor Attacks Based on Text Style Transfer,2021,https://doi.org/10.18653/v1/2021.emnlp-main.374,Fanchao Qi,Query match: style transfer poetry
A038,academic,academic,symbolic music generation,Symbolic Music Generation with Transformer-GANs,2021,https://doi.org/10.1609/aaai.v35i1.16117,Aashiq Muhamed,Query match: symbolic music generation
A039,academic,academic,rap lyrics generation,Conditional Rap Lyrics Generation with Denoising Autoencoders,2020,https://arxiv.org/pdf/2004.03965,Nikola I. Nikolov,Query match: rap lyrics generation
A040,academic,academic,Chinese classical poetry,Deep Poetry: A Chinese Classical Poetry Generation System,2020,https://doi.org/10.1609/aaai.v34i09.7100,Liu Y,Query match: Chinese classical poetry
A041,academic,academic,symbolic music generation,Learning Adversarial Transformer for Symbolic Music Generation,2020,https://doi.org/10.1109/tnnls.2020.2990746,Ning Zhang,Query match: symbolic music generation
A042,academic,academic,lyrics generation / melody conditioned lyrics generation,Melody-Conditioned Lyrics Generation with SeqGANs,2020,https://doi.org/10.1109/ism.2020.00040,Yihao Chen,Query match: lyrics generation
A043,academic,academic,controllable poetry generation,MixPoet: Diverse Poetry Generation via Learning Controllable Mixed Latent Space,2020,https://doi.org/10.1609/aaai.v34i05.6488,Xiaoyuan Yi,Query match: controllable poetry generation
A044,academic,academic,lyrics generation / rap lyrics generation,Rapformer: Conditional Rap Lyrics Generation with Denoising Autoencoders,2020,https://doi.org/10.18653/v1/2020.inlg-1.42,Nikola I. Nikolov,Query match: lyrics generation
